id_bh,label
100000688,2
100005503,4
100006307,6
100008625,6
100009238,3
100014583,5
100015126,5
100016241,4
100016518,5
100016548,5
100019294,6
100020068,5
100021575,5
100023710,6
100026867,4
100027882,5
100028420,5
100028837,3
100032160,5
100033404,2
100033866,5
100036661,4
100036775,2
100036854,4
100037241,4
100038103,4
100038401,5
100038411,5
100038419,5
100041748,4
100043302,5
100043313,6
100043422,5
100044890,4
100049667,2
100050117,4
100050817,2
100052383,5
100056225,5
100058976,5
100061216,5
101000736,6
101001083,2
101001734,2
101003874,4
101005108,3
101007293,4
101007826,4
101007835,4
101008766,4
101013567,2
101022950,2
101023334,4
101023870,5
101024122,2
101025627,2
101027746,5
101027761,2
101029638,5
101034456,4
101034844,4
101038514,5
101040999,4
101042358,2
101048127,2
101048307,2
101051266,4
101051360,2
101051626,2
101054519,6
101054589,4
101055206,3
101055540,4
101057138,6
101057560,2
101905197,2
102000671,6
102001011,5
102001312,4
102002162,5
102003218,4
102003891,4
102004401,5
102005211,5
102005426,5
102005554,5
102007935,4
102010752,6
102012388,2
102012932,5
102014270,5
102015645,2
102016065,5
102016070,5
102016438,4
102022001,4
102022219,6
102022395,5
102022669,3
102024370,3
102024719,2
102025189,2
102025384,5
102026488,6
102026680,4
102031376,6
102031900,2
102033426,4
102033786,4
102035290,4
102035595,4
102036240,5
102037117,5
102039062,5
102039173,4
102039800,4
102040932,2
102041057,6
102048099,2
102049773,4
103000210,5
103002784,5
103002788,4
103004426,6
103005067,5
103005972,4
103011866,2
103012512,5
103014249,2
103015584,5
103015894,6
103018635,2
103018677,2
103019000,2
103019562,5
103022052,2
103023524,4
103024813,3
103025793,4
103035571,2
103039911,5
103040134,2
103049918,5
104000752,2
104001067,4
104002028,5
104002643,5
104002967,5
104004266,2
104006379,4
104006402,4
104006416,4
104010274,2
104011168,2
104011249,5
104011314,4
104012322,2
104012620,4
104016989,2
104019681,2
104020618,6
104020809,6
104020825,2
104025488,5
104026147,2
104026266,2
104030087,6
104030595,6
104032297,4
104035158,2
104040308,5
104041603,4
104041751,2
104041930,2
104044461,2
104045266,5
104047741,6
104047972,4
104049487,3
104050146,5
104054698,5
104058877,2
104060153,4
104060532,4
104063032,2
104063725,5
104064950,4
105001141,4
105001867,5
105004602,4
105004673,5
105007369,5
105007583,4
105010001,5
105011963,2
105013322,2
105013356,2
105014324,4
105014831,2
105015457,5
105018658,4
105021472,4
105031622,4
105031970,2
105033823,5
105034644,5
105036904,5
105040299,2
105040471,2
105043805,2
105043889,3
105047207,4
105048614,2
105048700,2
105049652,2
105051407,6
105054869,4
105055508,3
105055608,4
105055738,2
105055923,6
105056686,5
105057499,2
105058358,4
105058443,3
105060839,4
106002528,5
106003202,2
106005533,2
106006648,4
106008941,2
106014094,5
106016786,6
106018793,4
106020154,2
106021595,2
106022542,2
106023500,6
106027416,2
106029734,2
106029964,5
106030944,2
106033942,4
106034637,2
106035938,4
106037176,2
106037571,4
106041012,2
106042525,2
106043326,5
106043659,5
106045551,2
106045947,2
106047712,4
106048110,2
106051344,5
106052553,4
106052574,2
106053839,2
106054469,5
106055004,4
106055704,5
106056959,4
106059452,3
106065093,2
106068728,2
106071222,5
106072898,4
106073254,4
107001870,4
107002689,4
